"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0.9104,0.0236,0.0204,0.0236,0.022
"3",0,1,0,0,0,0.0246,0.9038,0.0232,0.0252,0.0232
"4",0,0,1,0,0,0.019,0.0192,0.9162,0.023,0.0226
"5",0,0,0,1,0,0.0238,0.025,0.0234,0.9036,0.0242
"6",0,0,0,0,1,0.0252,0.0212,0.0222,0.0234,0.908
"7",1,1,0,0,0,0.9332,0.9282,0.046,0.0464,0.0462
"8",1,0,1,0,0,0.9356,0.0442,0.9274,0.0464,0.0464
"9",1,0,0,1,0,0.9308,0.044,0.045,0.9372,0.043
"10",1,0,0,0,1,0.9276,0.047,0.0446,0.047,0.9338
"11",0,1,1,0,0,0.0444,0.9312,0.931,0.0466,0.0468
"12",0,1,0,1,0,0.0462,0.9318,0.0454,0.929,0.0476
"13",0,1,0,0,1,0.0474,0.9272,0.049,0.048,0.9284
"14",0,0,1,1,0,0.0458,0.047,0.9286,0.9326,0.046
"15",0,0,1,0,1,0.0442,0.0446,0.9358,0.0452,0.9302
"16",0,0,0,1,1,0.0432,0.043,0.0462,0.9308,0.9368
"17",1,1,1,0,0,0.9488,0.9494,0.947,0.0814,0.0734
"18",1,1,0,1,0,0.9544,0.95,0.0712,0.953,0.0714
"19",1,1,0,0,1,0.953,0.9516,0.0702,0.072,0.9532
"20",1,0,1,1,0,0.9492,0.0716,0.9566,0.9522,0.0704
"21",1,0,1,0,1,0.9492,0.0764,0.9494,0.0718,0.9532
"22",1,0,0,1,1,0.9536,0.073,0.0674,0.9536,0.9524
"23",0,1,1,1,0,0.0684,0.9546,0.9522,0.953,0.0718
"24",0,1,1,0,1,0.074,0.9496,0.9502,0.0748,0.9514
"25",0,1,0,1,1,0.0676,0.955,0.0688,0.9498,0.9588
"26",0,0,1,1,1,0.0726,0.0728,0.9474,0.9534,0.9538
"27",1,1,1,1,0,0.9742,0.977,0.9732,0.9714,0.1042
"28",1,1,1,0,1,0.9728,0.9752,0.976,0.105,0.971
"29",1,1,0,1,1,0.9786,0.9674,0.1082,0.9708,0.975
"30",1,0,1,1,1,0.9768,0.1,0.9784,0.9722,0.9726
"31",0,1,1,1,1,0.1102,0.9722,0.9734,0.9742,0.97
"32",1,1,1,1,1,0.7976,0.794,0.8028,0.8006,0.805
